BUT,+5,134.5,
HALL,-5,134.5
MICH,+4,133,
RUTG,-4,133
AUB,-4,150,
UGA,+4,150
TA&M,+10.5,144,
ALA,-10.5,144
GT,+1.5,139.5,
WAKE,-1.5,139.5
UCF,+11.5,136,
CIN,-11.5,136
ECU,+13.5,142.5,
MEM,-13.5,142.5
SYR,+9,146,
LOU,-9,146
IONA,+6,145,
SIE,-6,145
NAVY,+4.5,128.5,
AMER,-4.5,128.5
ARMY,+5,151,
L-MD,-5,151
BU,-2,140,
LAF,+2,140
GMU,+11,141.5,
RICH,-11,141.5
UTC,-8.5,151,
CIT,+8.5,151
FUR,+5,139.5,
ETSU,-5,139.5
WOF,+9,133,
UNCG,-9,133
SAM,+7,151,
MER,-7,151
VMI,+9,152.5,
WCU,-9,152.5
LAM,+7.5,143.5,
SHSU,-7.5,143.5
NICH,-3,144,
NWST,+3,144
UCA,+12.5,150.5,
SFA,-12.5,150.5
MOST,+5.5,138,
BRAD,-5.5,138
VAL,+4,141.5,
DRKE,-4,141.5
ILST,+11,129,
L-IL,-11,129
MCN,-6,143.5,
UIW,+6,143.5
TCU,+1.5,123.5,
TEX,-1.5,123.5
GW,+10,138,
DUQ,-10,138
FOR,+7.5,122,
LAS,-7.5,122
SMU,-7,139,
TULN,+7,139
ULM,+7.5,132,
ARST,-7.5,132
SDST,-3.5,150,
UND,+3.5,150
NDSU,+1.5,149,
SDAK,-1.5,149
CBU,-1.5,138,
UMKC,+1.5,138
BC,+12,111.5,
UVA,-12,111.5
LEH,+13,146.5,
COLG,-13,146.5
ACU,-10,162,
HB,+10,162
PROV,+1,144,
GTWN,-1,144
IND,+5.5,135.5,
MINN,-5.5,135.5
DUKE,-6.5,151.5,
NCST,+6.5,151.5
VILL,-4.5,140,
DEP,+4.5,140
SC,+5.5,145,
MSST,-5.5,145
TLSA,+10,129.5,
HOU,-10,129.5
KSU,+11.5,128.5,
TTU,-11.5,128.5
MIA,+4,139,
VT,-4,139
WYO,+20.5,129,
USU,-20.5,129
BSU,-10,154,
SJSU,+10,154
AFA,+8,143.5,
FRES,-8,143.5
CAL,+5.5,132.5,
WSU,-5.5,132.5
LBSU,+15,141.5,
UCI,-15,141.5
